"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"ines 2";"{""interests"":[""Public Debate"",""Regular attendee of economic conferences and public policy forums."",""Volunteering"",""Tutor for underprivileged high school students in economics.""]}";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""2022"",""field"":""Economics & Humanities"",""university"":""Lycee Henri-IV, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""September 2024 - February 2025"",""company"":""French Economic Think Tank"",""job title"":""Policy Research Assistant (Internship)"",""description"":""Conducted literature reviews and data analysis for policy briefs. Contributed to reports on labor market reforms and public spending efficiency. Participated in stakeholder interviews and policy workshops."",""country or city"":""Paris""},{""dates"":""June - August 2024"",""company"":""Ministry of Economy and Finance"",""job title"":""Public Affairs Intern"",""description"":""Assisted senior analysts in economic impact assessments. Prepared briefing notes and synthesis documents for internal use. Monitored legislative developments related to economic policy."",""country or city"":""Paris""}]"
"ines 10";"{""interests"":[""Public Debate"",""Regular attendee of economic conferences and public policy forums."",""Volunteering"",""Tutor for underprivileged high school students in economics.""]}";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""2022"",""field"":""Economics & Humanities"",""university"":""Lycee Henri-IV, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""September 2024 - February 2025"",""company"":""French Economic Think Tank"",""job title"":""Policy Research Assistant (Internship)"",""description"":""Conducted literature reviews and data analysis for policy briefs. Contributed to reports on labor market reforms and public spending efficiency.\n\nParticipated in stakeholder interviews and policy workshops."",""country or city"":""Paris""},{""dates"":""June - August 2024"",""company"":""Ministry of Economy and Finance"",""job title"":""Public Affairs Intern"",""description"":""Assisted senior analysts in economic impact assessments.\n\nPrepared briefing notes and synthesis documents for internal use.\n\nMonitored legislative developments related to economic policy."",""country or city"":""Paris""}]"
"ines 1";"{""interests"":[""Public Debate"",""Regular attendee of economic conferences and public policy forums."",""Volunteering"",""Tutor for underprivileged high school students in economics.""]}";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""2022"",""field"":""Economics & Humanities"",""university"":""Lycee Henri-IV, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""September 2024 - February 2025"",""company"":""French Economic Think Tank"",""job title"":""Policy Research Assistant (Internship)"",""description"":""Conducted literature reviews and data analysis for policy briefs.\nContributed to reports on labor market reforms and public spending efficiency.\nParticipated in stakeholder interviews and policy workshops."",""country or city"":""Paris""},{""dates"":""June - August 2024"",""company"":""Ministry of Economy and Finance"",""job title"":""Public Affairs Intern"",""description"":""Assisted senior analysts in economic impact assessments.\nPrepared briefing notes and synthesis documents for internal use.\nMonitored legislative developments related to economic policy."",""country or city"":""Paris""}]"
"hugo 9";"{""interests"":[""STOCK MARKET INVESTING"",""CHESS"",""MARATHON TRAINING""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""UNIVERSITY PARIS-DAUPHINE"",""country or city"":""not found"",""level_of_degree"":""BACHELOR IN ECONOMICS""},{""dates"":""2021"",""field"":""MATHEMATICS & PHYSICS"",""university"":""LYCÉE SAINT-LOUIS, PARIS"",""country or city"":""not found"",""level_of_degree"":""FRENCH BACCALAURÉAT""}]";"[{""dates"":""JUNE - AUGUST 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""ASSISTED IN FINANCIAL MODELING AND COMPANY VALUATION.\n\nPREPARED PITCHBOOKS AND MARKET ANALYSIS FOR M&A TRANSACTIONS.\n\nCONDUCTED COMPARABLE COMPANIES AND PRECEDENT TRANSACTIONS ANALYSES."",""country or city"":""PARIS""},{""dates"":""JANUARY - MAY 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""ANALYZED INVESTMENT OPPORTUNITIES IN SMES.\n\nBUILT LBO MODELS AND INVESTMENT MEMOS."",""country or city"":""not found""}]"
"hugo 8";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"{""studies"":[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\nPrepared pitchbooks and market analysis for M&A transactions.\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 7";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 6";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\nPrepared pitchbooks and market analysis for M&A transactions.\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 5";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\nPrepared pitchbooks and market analysis for M&A transactions.\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMES.\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 4";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\nPrepared pitchbooks and market analysis for M&A transactions.\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 3";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 2";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 10";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\nPrepared pitchbooks and market analysis for M&A transactions.\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 1";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""June - August 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""January - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"clara 9";"{""interests"":[""DEBATING (NAȚIONAL COMPETITIONS)"",""LONG-DISTANCE RUNNING"",""ECONOMIC PODCASTS""]}";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""EMLYON BUSINESS SCHOOL"",""country or city"":""LYON"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""not found"",""university"":""LYCÉE DU PARC"",""country or city"":""LYON"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JUNE - DECEMBER 2024"",""company"":""ROLAND BERGER"",""job title"":""STRATEGY ANALYST INTERN"",""description"":""CONDUCTED MARKET AND COMPETITOR ANALYSIS FOR INDUSTRIAL CLIENTS.\n\nBUILT EXCEL MODELS AND POWERPOINT DECKS FOR SENIOR CONSULTANTS.\n\nPARTICIPATED IN CLIENT INTERVIEWS AND SYNTHESIS WORKSHOPS."",""country or city"":""PARIS""},{""dates"":""SEPTEMBER 2023 - MAY 2024"",""company"":""EMLYON JUNIOR CONSEIL"",""job title"":""STUDENT CONSULTANT"",""description"":""DELIVERED CONSULTING MISSIONS FOR SMES (MARKET SIZING, PRICING).\n\nLED A TEAM OF 4 STUDENTS ON A RETAIL OPTIMIZATION PROJECT."",""country or city"":""not found""}]"
"clara 8";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 7";"[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]";"{""studies"":[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]}";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing,\npricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 6";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 5";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMES (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 4";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"{""studies"":[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]}";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 3";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 2";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 10";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""not found"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 1";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022-2025"",""field"":""Global BBA"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""June - December 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients.\n\nBuilt Excel models and PowerPoint decks for senior consultants.\n\nParticipated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""September 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing).\n\nLed a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"camille 9";"{""interests"":[""GEOPOLITICS : ACTIVE MEMBER OF MỤN (MODEL UNITED NATIONS)."",""SCOUTING : TEAM LEADER (3 YEARS). VALUEŞ OF SOLIDARITY."",""CULTURE : RUSSIAN LITERATURE AND SOUTH AMERICAN CINEMA.""]}";"{""studies"":[{""dates"":""2023-2026"",""field"":""not found"",""university"":""UNIVERSITY OF BORDEAUX"",""country or city"":""BORDEAUX"",""level_of_degree"":""BACHELOR IN POLITICAL SCIENCE""},{""dates"":""not found"",""field"":""INTERNATIONAL EXCHANGE"",""university"":""MCGILL UNIVERSITY"",""country or city"":""MONTREAL, CANADA"",""level_of_degree"":""not found""}]}";"[{""dates"":""SUMMER 2025"",""company"":""NGO \""EDUCATION FOR ALL\"""",""job title"":""INTERNATIONAL HUMANITARIAN MISSION"",""description"":""· COORDINATED A MULTICULTURAL TEAM OF 5 INTERNAȚIONAL VOLUNTEERS.\n\n· TAUGHT FRENCH AND PROVIDED TUTORING (PRIMARY AND MIDDLE SCHOOL LEVELS).\n\n· MANAGED CAMP LOGISTICS AND RELATIONS WITH LOCAL STAKEHOLDERS."",""country or city"":""SENEGAL""},{""dates"":""2024 - 2025"",""company"":""CITY HALL OF BORDEAUX"",""job title"":""PUBLIC AFFAIRS INTERN"",""description"":""· DRAFTED SYNTHESIS NOTES FOR ELECTED OFFICIALS AND PRESS RELEASES.\n\n· CO-ORGANIZED CULTURAL AND CIVIC EVENTS (BUDGET: €50K).\n\n· CONDUCTED LEGISLATIVE MONITORING ON ENVIRONMENTAL TOPICS."",""country or city"":""BORDEAUX""}]"
"camille 8";"{""interests"":[""Geopolitics : Active member of MUN (Model United Nations)."",""Scouting : Team Leader (3 years). Values of solidarity."",""Culture : Russian literature and South American cinema.""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""Bordeaux"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Summer 2025"",""company"":""NGO \""Education For All\"""",""job title"":""not found"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""Senegal""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 7";"{""interests"":[""Geopolitics : Active member of MUN (Model United Nations)."",""Scouting : Team Leader (3 years). Values of solidarity."",""Culture : Russian literature and South American cinema.""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""Bordeaux"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Summer 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n. Taught French and provided tutoring (primary and middle school levels).\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""Senegal""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":"". Drafted synthesis notes for elected officials and press releases.\n. Co-organized cultural and civic events (Budget: €50k).\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 6";"{""interests"":[""Geopolitics : Active member of MUN (Model United Nations)."",""Scouting : Team Leader (3 years). Values of solidarity."",""Culture : Russian literature and South American cinema.""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""Bordeaux"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Summer 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""Senegal""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 5";"{""interests"":[""Geopolitics : Active member of MUN (Model United Nations)."",""Scouting : Team Leader (3 years). Values of solidarity."",""Culture : Russian literature and South American cinema.""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""Bordeaux"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Summer 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""Senegal""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":"". Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
